# metric_direction: higher_is_better
iteration	vector	severity	owasp	stride	confidence	location	description
0	-	-	-	-	-	-	baseline — cargo audit not installed; 650 tests pass; 0 clippy warnings
1	A07/Spoofing-JWS-algorithm	clean	A07	S	high	crates/akamu-jose/src/jws.rs:114	No algorithm confusion: SPKI from DB (not attacker JWK); no "none" path; ML-DSA has length guard; cross-type confusion rejected by crypto lib
1	A05/I-error-disclosure	low	A05	I	high	src/error.rs:145	AcmeError::Database(e.to_string()) → full sqlx error string in HTTP 500 detail field; exposes table names / SQL fragments to clients
2	A01/E-IDOR	clean	A01	E	high	src/routes/certificate.rs src/routes/order.rs src/routes/authz.rs src/routes/challenge.rs	All IDs are UUID v4 (random 128-bit); every KID-authenticated endpoint checks account_id ownership; unauthenticated cert GET is RFC-compliant
3	A01/E-admin-rbac	low	A01	E	high	src/routes/admin.rs:409,525,760	get_account_profile_grants, get_eab, get_stats use "any authenticated role"; inconsistent with attack surface map which lists Admin/Auditor; no authentication bypass (OperatorContext still enforces valid session)
4	A09/R-SecurityViolation-dead	medium	A09	R	high	src/audit.rs:63	AuditEventType::SecurityViolation defined and handled by FAU_ARP.1 alarm, but never emitted from any route handler; the alarm can never trigger
5	A02/T-EAB-HMAC	clean	A02	T	high	src/jose/eab.rs:77	HS256/384/512 only; constant-time HMAC via OpenSSL; kid, url, payload thumbprint all verified before MAC check
5	A04/D-EAB-TOCTOU	medium	A04	T	high	src/routes/account.rs:120 src/db/eab.rs:113	get_by_kid fetches EAB key outside transaction; two concurrent new-account requests with same (kid,hmac) can both pass used_at IS NULL check and both create accounts; mark_used UPDATE lacks WHERE used_at IS NULL guard
6	A05/I-error-disclosure-deep	medium	A05	I	high	src/error.rs:113-126	AcmeError::Database / Crypto / Internal / Builder / Mtc all call to_string() / carry internal messages; all map to IntoResponse via detail = self.to_string() — DB errors include sqlx driver detail, crypto errors include openssl detail
7	A10/SSRF-http01-initial	medium	A10	I	high	src/validation/http01.rs:128 src/routes/order.rs:357	is_blocked_ip check only guards redirect targets; ip-type identifiers (192.168.x, 10.x, etc.) are offered http-01 challenges and the initial GET to the private IP is not blocked; allows probing internal HTTP services
8	A03/T-sql-injection	clean	A03	T	high	src/db/	All QueryBuilder calls use push (static SQL) + push_bind (parameterised values); no user data pushed as raw SQL; sqlx prevents injection by construction
9	A04/D-finalize-race	medium	A04	T	high	src/db/orders.rs:129 src/routes/finalize.rs:50	set_certificate UPDATE lacks WHERE status = 'ready'; two concurrent finalize requests can each sign and commit a certificate for the same order; first cert becomes orphaned in DB
10	A06-dependencies	info	A06	-	low	Cargo.lock	cargo-audit not installed; unable to scan for known CVEs; recommend installing and running in CI
11	A02/T-session-token-entropy	clean	A02	S	high	src/admin/auth.rs:49-52	32-byte getrandom (CSPRNG); hex-encoded 64-char token; 256-bit entropy; subtle::ConstantTimeEq for lookup
12	A04/D-body-limit-bypass	low	A04	D	medium	src/routes/mod.rs:149	When max_body_bytes = 0, code calls DefaultBodyLimit::disable() instead of keeping axum 2 MiB default as comment states; default config is 65536 so not triggered in default deployments; manual misconfiguration needed
13	A09/R-pii-in-logs	clean	A09	I	high	src/routes/ src/audit.rs	No contact/email/HMAC keys logged; audit principal uses JWK thumbprint (opaque) or operator name; tracing calls use structured fields without sensitive values
14	A09/R-key-change-no-audit	medium	A09	R	high	src/routes/key_change.rs	key_change handler emits no audit event; account key replacement is a critical security action with no repudiation trail; no AuditEventType::KeyChange variant exists
15	A09/R-challenge-audit	clean	A09	R	high	src/validation/mod.rs:301,379	AuthChallengeOk and AuthChallengeFail emitted from validation/mod.rs on_valid/on_invalid; order creation emits OrderCreate; revocation emits CertRevoke
